,spinning,fabric_formation,dyeing,finishing,coating,assembly,total_process_ghg_kg_per_kg
Cotton,3.8307096867361037,5.851322925030763,4.834616440772829,0.6125670314073666,,1.7537741125303914,16.88299019647745
Silk,5.946646340764096,5.851322925030763,4.793070562175724,0.6125670314073666,,1.7537741125303914,18.95738097190834
Linen,3.8307096867361037,5.851322925030763,4.834616440772829,0.6125670314073666,,1.7537741125303914,16.88299019647745
Chiffon,3.679526739136409,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,15.58089221953391
Rayon,4.908910149647632,5.851322925030763,4.834616440772829,0.6125670314073666,,1.7537741125303914,17.96119065938898
Wool,4.80485600084462,5.851322925030763,4.793070562175724,0.6125670314073666,,1.7537741125303914,17.815590631988865
Polyester,3.679526739136409,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,15.58089221953391
Georgette,3.679526739136409,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,15.58089221953391
Denim,3.8307096867361037,5.851322925030763,7.929408205287014,0.6125670314073666,,1.7537741125303914,19.977781960991635
Satin,3.679526739136409,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,15.58089221953391
Velvet,3.679526739136409,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,15.58089221953391
Pashmina,4.80485600084462,5.851322925030763,4.793070562175724,0.6125670314073666,,1.7537741125303914,17.815590631988865
Leather,,,,0.6125670314073666,28.267253562212602,1.7537741125303914,30.633594706150358
Lace,4.774547195765045,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,16.675912676162547
Lycra,7.461466057766739,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,19.36283153816424
Spandex,7.461466057766739,5.851322925030763,3.683701411428981,0.6125670314073666,,1.7537741125303914,19.36283153816424
Faux Leather,,,,0.6125670314073666,28.267253562212602,1.7537741125303914,30.633594706150358
